Date,Open,High,Low,Close,Adj Close,Volume
2021-12-09,40.310001,40.500000,40.070000,40.200001,36.043751,5850400
2021-12-10,39.820000,40.369999,39.650002,39.959999,35.828564,6509820
2021-12-13,40.200001,41.200001,40.189999,41.040001,36.796902,7926893
2021-12-14,40.860001,41.310001,40.639999,41.279999,37.012089,7772649
2021-12-15,41.160000,41.570000,41.020000,41.070000,36.823799,6723084
2021-12-16,40.599998,40.880001,40.419998,40.660000,36.456188,8583166
2021-12-17,40.740002,41.400002,40.740002,41.400002,37.119682,17598921
2021-12-20,40.970001,41.139999,40.779999,41.099998,36.850697,7066276
2021-12-21,40.950001,41.759998,40.860001,41.709999,37.397629,7051826
2021-12-22,41.869999,42.099998,41.180000,41.389999,37.110718,9011101
2021-12-23,41.299999,41.450001,41.009998,41.259998,36.994156,5553371
2021-12-24,41.549999,41.665001,41.310001,41.320000,37.047955,2203033
2021-12-29,41.490002,41.520000,41.220001,41.330002,37.056923,5231731
2021-12-30,41.560001,42.029999,41.520000,41.680000,37.370731,4078395
2021-12-31,41.680000,41.680000,41.279999,41.500000,37.209347,3394361
2022-01-04,41.750000,42.650002,41.700001,42.380001,37.998360,5902159
2022-01-05,42.700001,42.900002,42.514999,42.630001,38.222515,6339696
2022-01-06,42.619999,43.480000,42.590000,42.680000,38.267342,7214466
2022-01-07,43.560001,43.759998,43.070000,43.730000,39.208786,7121678
2022-01-10,44.459999,44.869999,44.230000,44.779999,40.150227,7034812
2022-01-11,44.310001,45.000000,43.970001,44.650002,40.033669,9823663
2022-01-12,45.130001,45.560001,44.880001,45.119999,40.455070,13091426
2022-01-13,46.000000,47.029999,45.869999,46.849998,42.006210,12647711
2022-01-14,46.400002,46.919998,46.259998,46.680000,41.853786,12088803
2022-01-17,46.790001,47.000000,45.930000,46.150002,41.378586,12201119
2022-01-18,46.439999,46.990002,46.189999,46.700001,41.871719,9940912
2022-01-19,46.400002,46.880001,46.150002,46.560001,41.746193,12821922
2022-01-20,47.209999,48.240002,47.209999,48.009998,43.046280,12839430
2022-01-21,47.000000,47.000000,45.570000,45.700001,40.975109,20068064
2022-01-24,45.320000,45.680000,44.900002,45.599998,40.885448,24745712
2022-01-25,45.240002,45.650002,44.910000,45.029999,40.374378,23844958
2022-01-27,45.299999,46.485001,45.049999,45.669998,40.948208,27712917
2022-01-28,47.259998,47.259998,46.099998,46.919998,42.068970,327417026
2022-01-31,46.049999,46.360001,45.549999,46.349998,41.557903,37660130
2022-02-01,45.439999,45.490002,44.700001,44.930000,40.284721,21319777
2022-02-02,45.990002,46.099998,45.459999,45.639999,40.921310,24570883
2022-02-03,46.340000,47.070000,46.000000,47.049999,42.185532,33985521
2022-02-04,46.400002,46.810001,46.160000,46.810001,41.970345,24751752
2022-02-07,46.849998,47.700001,46.669998,47.389999,42.490379,23667320
2022-02-08,48.270000,49.169998,48.060001,49.150002,44.068417,32257311
2022-02-09,48.689999,49.029999,47.820000,48.320000,43.324230,31349862
2022-02-10,47.700001,48.720001,47.700001,48.279999,43.288364,25874159
2022-02-11,49.099998,49.480000,48.549999,48.860001,43.808399,12518277
2022-02-14,48.380001,48.799999,47.919998,48.330002,43.333195,12065369
2022-02-15,49.000000,49.880001,47.840000,48.180000,43.198704,12803819
2022-02-16,47.389999,47.389999,46.820000,47.330002,42.436584,14445361
2022-02-17,47.830002,48.540001,47.720001,47.970001,43.010414,21166258
2022-02-18,47.419998,48.230000,47.220001,47.959999,43.001450,18523869
2022-02-21,48.000000,48.529999,48.000000,48.240002,43.252502,7099957
2022-02-22,48.139999,48.180000,47.540001,47.810001,42.866959,9861257
2022-02-23,47.849998,48.230000,47.680000,48.099998,43.126972,11823062
2022-02-24,45.790001,45.849998,44.160000,44.770000,41.956066,18849437
2022-02-25,44.700001,44.810001,44.049999,44.689999,41.881092,18735910
2022-02-28,45.650002,46.660000,45.290001,46.660000,43.727272,18362233
2022-03-01,47.049999,47.360001,46.509998,46.549999,43.624184,12831975
2022-03-02,47.189999,48.500000,47.160000,48.320000,45.282936,15686996
2022-03-03,49.779999,50.090000,49.509998,50.060001,46.913570,15783662
2022-03-04,50.000000,50.169998,49.169998,49.939999,46.801113,11640731
2022-03-07,50.389999,50.619999,50.029999,50.380001,47.213459,15420979
2022-03-08,49.540001,49.930000,48.529999,48.529999,45.479736,13147591
2022-03-09,47.580002,48.860001,47.580002,48.490002,45.442253,13460329
2022-03-10,47.520000,47.970001,47.220001,47.750000,44.748760,15136054
2022-03-11,48.310001,48.750000,47.580002,47.689999,44.692532,11612554
2022-03-14,47.779999,47.939999,47.169998,47.360001,44.383274,7185779
2022-03-15,45.849998,45.860001,45.090000,45.369999,42.518353,10782879
2022-03-16,45.169998,45.349998,44.919998,45.180000,42.340294,12694440
2022-03-17,45.990002,46.060001,45.459999,45.680000,42.808868,12847705
2022-03-18,46.130001,46.450001,45.790001,46.250000,43.343040,21270967
2022-03-21,46.459999,46.880001,46.419998,46.450001,43.530472,7784352
2022-03-22,48.119999,48.849998,48.020000,48.820000,45.751507,11411668
2022-03-23,47.930000,48.509998,47.799999,48.439999,45.395393,11966952
2022-03-24,48.750000,49.639999,48.590000,49.299999,46.201340,11214167
2022-03-25,49.689999,49.939999,49.480000,49.770000,46.641800,12840133
2022-03-28,50.209999,51.130001,50.169998,50.919998,47.719517,12807580
2022-03-29,50.639999,50.880001,50.380001,50.619999,47.438374,15113068
2022-03-30,50.779999,50.779999,50.180000,50.580002,47.400890,12305881
2022-03-31,52.500000,52.610001,51.750000,51.750000,48.497349,15976349
2022-04-01,52.599998,52.619999,52.000000,52.389999,49.097122,10926436
2022-04-04,52.950001,53.110001,52.320000,52.459999,49.162724,6104242
2022-04-05,52.209999,52.419998,51.759998,51.950001,48.684780,8421305
2022-04-06,51.020000,51.410000,50.709999,51.410000,48.178719,9683544
2022-04-07,51.220001,51.480000,51.009998,51.070000,47.860088,5686432
2022-04-08,51.610001,52.290001,51.349998,51.939999,48.675407,8098463
2022-04-11,52.200001,52.599998,51.520000,51.680000,48.431747,6185714
2022-04-12,51.439999,51.790001,51.259998,51.720001,48.469234,7177942
2022-04-13,51.849998,52.029999,51.470001,51.779999,48.525463,7602532
2022-04-14,52.200001,52.610001,52.080002,52.500000,49.200211,8994800
2022-04-19,53.180000,53.720001,53.060001,53.169998,49.828094,8285661
2022-04-20,53.029999,53.099998,52.299999,52.299999,49.012779,8897006
2022-04-21,51.389999,51.590000,50.700001,50.700001,47.513344,13882138
2022-04-22,48.590000,48.889999,48.150002,48.490002,45.442253,19206453
2022-04-26,45.900002,46.119999,45.509998,45.660000,42.790123,18948482
2022-04-27,45.180000,46.419998,45.119999,46.009998,43.118126,13446397
2022-04-28,47.680000,48.020000,47.020000,48.020000,45.001793,14661426
2022-04-29,47.980000,48.180000,47.700001,48.009998,44.992420,12573542
2022-05-02,47.830002,48.009998,47.490002,47.980000,44.964306,8368921
2022-05-03,48.040001,48.040001,47.320000,47.660000,44.664417,10480709
2022-05-04,48.000000,48.099998,47.250000,47.400002,44.420761,5508990
2022-05-05,47.799999,47.919998,47.369999,47.450001,44.467617,7832258
2022-05-06,46.529999,46.799999,46.070000,46.799999,43.858471,12771795
2022-05-09,46.340000,46.700001,45.880001,46.209999,43.305553,8042565
2022-05-10,45.000000,45.180000,44.110001,45.020000,42.190350,11971158
2022-05-11,44.919998,45.740002,44.389999,45.660000,42.790123,9612542
2022-05-12,45.700001,46.150002,44.709999,44.950001,42.124752,10968104
2022-05-13,45.189999,45.840000,45.049999,45.840000,42.958813,9752351
2022-05-16,46.080002,46.340000,44.900002,45.310001,42.462124,11795310
2022-05-17,40.762863,40.807384,40.371086,40.566975,38.017212,14267532
2022-05-18,41.831352,42.036148,41.617657,41.858067,39.227154,11937774
2022-05-19,40.860809,41.359440,40.709442,41.163548,38.576290,10240236
2022-05-20,41.715603,42.160805,41.599850,42.009438,39.369011,12421673
2022-05-23,42.472446,42.979980,42.392311,42.588200,39.911396,10081083
2022-05-24,42.908749,42.935459,42.321079,42.561489,39.886364,13078906
2022-05-25,43.000000,43.820000,42.884998,43.020000,40.316059,15075328
2022-05-26,43.200001,43.439999,42.119999,42.619999,39.941196,10748939
2022-05-27,43.389999,43.790001,43.160000,43.669998,40.925201,8359059
2022-05-30,44.439999,44.910000,44.180000,44.910000,42.087265,8954942
2022-05-31,44.950001,45.320000,44.610001,44.610001,41.806122,18768732
2022-06-01,44.509998,45.650002,44.450001,45.650002,42.780754,10839049
2022-06-02,45.599998,45.610001,44.759998,45.610001,42.743267,12018698
2022-06-03,46.799999,46.950001,46.439999,46.759998,43.820984,9556350
2022-06-06,46.529999,46.619999,46.200001,46.340000,43.427383,4903285
2022-06-07,46.439999,46.580002,46.080002,46.299999,43.389896,8559412
2022-06-08,47.580002,47.900002,47.189999,47.369999,44.392647,11145702
2022-06-09,46.970001,47.520000,46.130001,46.240002,43.333672,10740689
2022-06-10,45.889999,46.240002,44.810001,46.220001,43.314930,10304759
2022-06-14,43.500000,44.259998,43.160000,44.259998,41.478119,15865363
2022-06-15,43.869999,44.590000,43.720001,43.900002,41.140747,11754602
2022-06-16,44.480000,44.680000,43.849998,44.009998,41.243832,12499017
2022-06-17,42.889999,43.049999,42.070000,42.520000,39.847485,26704392
2022-06-20,42.160000,42.180000,40.160000,40.259998,37.729530,11338323
2022-06-21,40.939999,41.430000,40.630001,40.950001,38.376163,9344528
2022-06-22,41.540001,41.700001,40.700001,41.029999,38.451134,8306768
2022-06-23,40.200001,40.500000,39.610001,40.500000,37.954449,10957904
2022-06-24,39.759998,40.330002,39.490002,40.020000,37.504616,10051806
2022-06-27,40.599998,41.799999,40.560001,41.200001,38.610451,10711112
2022-06-28,41.619999,42.980000,41.549999,42.980000,40.278572,12148760
2022-06-29,42.419998,42.939999,42.320000,42.759998,40.072399,9215970
2022-06-30,42.299999,42.340000,41.250000,41.250000,38.657307,14442299
2022-07-01,40.830002,40.840000,40.049999,40.049999,37.532730,10664754
2022-07-04,39.750000,40.070000,39.430000,39.900002,37.392162,11102227
2022-07-05,39.900002,40.520000,39.880001,40.000000,37.485874,7540059
2022-07-06,38.799999,38.959999,37.720001,37.759998,35.386662,16294216
2022-07-07,38.099998,38.939999,38.009998,38.939999,36.492496,10316805
2022-07-08,39.990002,40.160000,39.099998,39.220001,36.754902,8381561
2022-07-11,38.529999,38.810001,38.000000,38.000000,35.611580,8216346
2022-07-12,38.200001,38.360001,37.450001,37.459999,35.105518,10612851
2022-07-13,36.810001,37.139999,36.599998,36.919998,34.599461,13141239
2022-07-14,37.009998,38.020000,37.000000,37.400002,35.049294,11495867
2022-07-15,36.000000,36.220001,35.830002,36.099998,33.831001,13788512
2022-07-18,36.250000,36.970001,36.099998,36.970001,34.646320,7200803
2022-07-19,37.299999,37.930000,36.610001,36.610001,34.308945,8491925
2022-07-20,36.799999,37.419998,36.709999,37.110001,34.777519,8076484
2022-07-21,36.900002,37.110001,36.360001,36.790001,34.477634,11534663
2022-07-22,36.599998,37.080002,36.380001,36.750000,34.440147,13340599
2022-07-25,36.630001,37.450001,36.630001,37.349998,35.002434,8017231
2022-07-26,37.820000,38.290001,37.750000,38.270000,35.864609,8163812
2022-07-27,38.230000,38.240002,37.360001,37.520000,35.161751,8667171
2022-07-28,38.029999,38.520000,37.735001,38.320000,35.911469,9108448
2022-07-29,38.740002,39.150002,38.465000,38.680000,36.248840,13102170
2022-08-01,39.110001,39.389999,38.919998,39.099998,36.642441,9587051
2022-08-02,38.570000,38.680000,38.189999,38.580002,36.155128,8275962
2022-08-03,38.240002,38.689999,37.919998,38.610001,36.183239,6491325
2022-08-04,38.610001,38.680000,38.080002,38.169998,35.770893,7674397
2022-08-05,38.150002,38.959999,38.040001,38.810001,36.370670,6276170
2022-08-08,38.799999,39.125000,38.630001,39.119999,36.661182,7532763
2022-08-09,38.790001,39.330002,38.639999,38.820000,36.380039,8092683
2022-08-10,38.930000,39.040001,38.299999,38.299999,35.892723,7855242
2022-08-11,38.810001,39.150002,38.549999,39.150002,36.689301,7429844
2022-08-12,39.099998,39.189999,38.759998,38.830002,36.389412,9006138
2022-08-15,39.180000,39.400002,38.799999,38.919998,36.473755,6904742
2022-08-16,39.930000,41.049999,39.700001,40.509998,37.963818,13033610
2022-08-17,41.290001,41.330002,40.430000,40.849998,38.282448,11111378
2022-08-18,40.680000,41.189999,40.500000,41.150002,38.563595,10311777
2022-08-19,41.470001,42.000000,41.389999,41.549999,38.938450,14648168
2022-08-22,41.200001,41.709999,40.959999,41.349998,38.751022,8273942
2022-08-23,41.689999,42.009998,41.459999,41.459999,38.854107,9760370
2022-08-24,42.299999,42.480000,41.764999,41.910000,39.275826,10025360
2022-08-25,41.910000,42.540001,41.799999,42.189999,39.538223,9439263
2022-08-26,42.730000,43.070000,42.570000,42.810001,40.119259,8497552
2022-08-29,42.430000,42.680000,41.910000,42.189999,39.538223,11010307
2022-08-30,42.250000,42.470001,41.720001,41.750000,39.125881,10425901
2022-08-31,40.480000,40.849998,40.330002,40.599998,38.048161,20407386
2022-09-01,37.500000,38.139999,37.400002,37.509998,37.509998,17909616
2022-09-02,36.900002,36.930000,36.599998,36.740002,36.740002,15075179
2022-09-05,37.090000,37.910000,37.060001,37.910000,37.910000,7746045
2022-09-06,38.119999,38.435001,37.270000,37.270000,37.270000,10117102
2022-09-07,36.910000,37.040001,36.270000,36.270000,36.270000,13944462
2022-09-08,36.200001,36.919998,36.130001,36.919998,36.919998,11667012
2022-09-09,37.439999,38.090000,37.320000,38.090000,38.090000,11379217
2022-09-12,39.029999,39.509998,38.849998,39.410000,39.410000,10834938
2022-09-13,39.709999,39.770000,39.090000,39.299999,39.299999,10040951
2022-09-14,38.599998,38.959999,38.419998,38.599998,38.599998,9185555
2022-09-15,38.619999,39.160000,38.509998,38.740002,38.740002,10946060
2022-09-16,38.299999,38.450001,37.814999,38.040001,38.040001,21333705
2022-09-19,38.060001,38.369999,37.810001,37.810001,37.810001,6836174
2022-09-20,38.580002,39.180000,38.330002,39.180000,39.180000,9899024
2022-09-21,38.450001,38.570000,37.959999,37.959999,37.959999,10894171
2022-09-23,38.650002,38.770000,37.910000,38.169998,38.169998,14658977
2022-09-26,37.180000,37.180000,36.200001,36.200001,36.200001,15642244
2022-09-27,36.709999,37.200001,36.650002,37.200001,37.200001,13355205
2022-09-28,37.900002,38.160000,37.150002,37.250000,37.250000,13346493
2022-09-29,38.180000,38.509998,38.009998,38.169998,38.169998,11073502
2022-09-30,38.840000,39.040001,38.450001,38.520000,38.520000,15119668
2022-10-03,39.040001,39.139999,38.439999,38.599998,38.599998,9151827
2022-10-04,39.650002,40.150002,39.369999,40.070000,40.070000,11311429
2022-10-05,40.810001,40.830002,40.029999,40.500000,40.500000,12182066
2022-10-06,40.490002,40.830002,40.209999,40.759998,40.759998,8714047
2022-10-07,40.270000,40.570000,40.060001,40.060001,40.060001,7933706
2022-10-10,39.820000,40.240002,39.759998,40.070000,40.070000,7780582
2022-10-11,40.750000,40.849998,39.919998,39.919998,39.919998,8779440
2022-10-12,39.990002,40.090000,39.380001,39.540001,39.540001,9175727
2022-10-13,39.299999,39.619999,39.029999,39.230000,39.230000,8255474
2022-10-14,39.830002,40.220001,39.750000,40.020000,40.020000,8730980
2022-10-17,39.090000,39.259998,38.669998,39.090000,39.090000,7633835
2022-10-18,39.799999,39.860001,39.240002,39.630001,39.630001,7806149
2022-10-19,39.349998,39.590000,39.009998,39.250000,39.250000,7334568
2022-10-20,38.599998,39.020000,38.130001,38.349998,38.349998,13657771
2022-10-21,38.410000,38.599998,38.009998,38.070000,38.070000,13721385
2022-10-21,38.410000,38.599998,38.009998,38.070000,38.070000,13721385
